MHI_2022,LSOA22
-0.23721798,E01001144
-0.411289248,E01001145
-0.54531569,E01001146
-0.561704675,E01001147
-0.73101874,E01001148
-0.736191123,E01001149
-0.636318316,E01001150
-0.252376254,E01001151
-0.460309774,E01001152
-0.733148823,E01001153
-0.814582616,E01001154
0.476234836,E01001155
0.22088457,E01001156
-0.820708908,E01001157
-0.531957948,E01001158
-0.488193668,E01001159
-0.871687407,E01001160
-0.210135526,E01001161
-0.252092995,E01001162
-0.407975285,E01001163
-0.531927327,E01001164
-0.619972891,E01001165
-0.41815274,E01001166
-0.167395161,E01001167
-0.594443283,E01001168
-0.020372047,E01001169
-0.231756468,E01001170
1.165838888,E01001171
0.455756287,E01001172
-0.144100818,E01001173
-0.727166643,E01001174
-0.442419522,E01001175
-0.834608678,E01001176
-0.745305465,E01001177
1.63467934,E01001178
-1.029681133,E01001179
-0.673936746,E01001180
0.054216208,E01001181
-0.761954378,E01001182
-0.875955044,E01001183
-0.811518853,E01001184
-0.615917484,E01001185
-0.15631474,E01001186
-0.280299828,E01001187
-0.361752684,E01001188
-0.651692218,E01001189
-0.815368604,E01001190
-0.432552037,E01001191
-0.463549984,E01001192
-0.577983534,E01001193
-0.706967409,E01001194
-0.771869431,E01001195
-0.071288314,E01001196
-0.181586841,E01001197
-0.748603881,E01001198
-0.769439693,E01001199
-0.726254905,E01001200
-0.669550505,E01001201
-0.635289284,E01001202
-0.139202954,E01001203
0.109409179,E01001204
0.530084799,E01001205
0.300743005,E01001206
